Precinct,Voters,Nearest VSPC,Distance to Nearest VSPC (mi.),Assigned VSPC,Distance to Assigned VSPC (mi.),Distance Difference (mi.),Reassigned,Voters Assigned,Precincts Assigned,Address,City,State,Zip,Precinct Map URL
157,704,Cherry Creek School District Instructional Support Facility,0.53,Cherry Creek School District Instructional Support Facility,0.53,0.00,False,16308,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_157.pdf
181,918,Cherry Creek School District Instructional Support Facility,0.68,Cherry Creek School District Instructional Support Facility,0.68,0.00,False,16308,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_181.pdf
191,899,Cherry Creek School District Instructional Support Facility,0.87,Cherry Creek School District Instructional Support Facility,0.87,0.00,False,16308,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_191.pdf
192,1097,Cherry Creek School District Instructional Support Facility,0.43,Cherry Creek School District Instructional Support Facility,0.43,0.00,False,16308,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_192.pdf
199,214,Cherry Creek School District Instructional Support Facility,0.81,Cherry Creek School District Instructional Support Facility,0.81,0.00,False,16308,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_199.pdf
209,1037,Cherry Creek School District Instructional Support Facility,1.93,Cherry Creek School District Instructional Support Facility,1.93,0.00,False,16308,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_209.pdf
210,1612,Cherry Creek School District Instructional Support Facility,1.40,Cherry Creek School District Instructional Support Facility,1.40,0.00,False,16308,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_210.pdf
211,920,Cherry Creek School District Instructional Support Facility,0.84,Cherry Creek School District Instructional Support Facility,0.84,0.00,False,16308,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_211.pdf
212,1249,Cherry Creek School District Instructional Support Facility,1.03,Cherry Creek School District Instructional Support Facility,1.03,0.00,False,16308,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_212.pdf
214,863,Cherry Creek School District Instructional Support Facility,0.73,Cherry Creek School District Instructional Support Facility,0.73,0.00,False,16308,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_214.pdf
