X,Y,US_CONG,CO_SEN,CO_HSE,ARAP,COMM,COLO_PREC,PRECINCT,HYPERLINK,created_us,created_da,last_edite,last_edi_1,Voter_Coun,Voter_Co_1,Shape_Leng,Shape_Area
-104.777193563192,39.6789272295282,"6","29","41","03","1","6294103473","473",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_473.pdf,AC,2022/02/02,AC,2025/10/20,1111,2025/10/20,0.02992635229,0.00005554188
-104.786044613567,39.677731062261,"6","29","41","03","0","6294103472","472",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_472.pdf,AC,2022/02/02,AC,2025/10/20,1200,2025/10/20,0.03859594412,0.00008381093
-104.797010071,39.6778090672766,"6","29","41","03","0","6294103471","471",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_471.pdf,AC,2022/02/02,AC,2025/10/20,1189,2025/10/20,0.04073952644,0.00010107418
-104.80639119805,39.678430366364,"6","29","41","03","0","6294103470","470",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_470.pdf,AC,2022/02/02,AC,2025/10/20,1228,2025/10/20,0.02907390839,0.00005185497
-104.824495432046,39.6750050213099,"6","29","41","03","0","6294103438","438",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_438.pdf,AC,2022/02/02,AC,2025/10/20,1493,2025/10/20,0.04876732026,0.00012989160
-104.833289208185,39.6784920336184,"6","29","41","03","0","6294103430","430",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_430.pdf,AC,2022/02/02,AC,2025/10/20,1087,2025/10/20,0.03213144156,0.00006399306
-104.842547530018,39.6784758762909,"6","29","41","03","0","6294103429","429",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_429.pdf,AC,2022/02/02,AC,2025/10/20,824,2025/10/20,0.03318781646,0.00006765673
-104.851931802336,39.6784201502269,"6","29","41","03","0","6294103420","420",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_420.pdf,AC,2022/02/02,AC,2025/10/20,1613,2025/10/20,0.03327991918,0.00006798906
-104.861420450799,39.6757589631684,"6","29","41","03","0","6294103419","419",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_419.pdf,AC,2022/02/02,AC,2025/10/20,1140,2025/10/20,0.04409718025,0.00011558138
-104.869811477356,39.6779838798482,"6","29","41","03","0","6294103414","414",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_414.pdf,AC,2022/02/02,AC,2025/10/20,974,2025/10/20,0.03607761825,0.00006950023
-105.008425897943,39.6660806147912,"6","26","03","03","0","6260303104","104",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_104.pdf,AC,2022/02/02,AC,2025/10/20,844,2025/10/20,0.10213062427,0.00026608575
