Precinct,Voters,Voter Service Polling Center (VSPC),VSPC Total Voters,VSPC Precinct Count,Address,City,State,Zip,Distance From Precinct (mi.),Area Lead,District Captain (DC),Precinct Lead,Hand Counter 1,Hand Counter 2,Hand Counter 3,Hand Counter 4,Hand Counter 5,Hand Counter 6,Hand Counter 7,Hand Counter 8,Hand Counter 9,Hand Counter 10,Hand Counter 11,Hand Counter 12
538,1188,Community College of Aurora CentreTech Campus,12167,10,16000 E CentreTech Pkwy,Aurora,CO,80011,2.03,,,,,,,,,,,,,,,
137,904,Cook Park Recreation Center,18792,20,7100 Cherry Creek S Dr,Denver,CO,80224,1.77,,,,,,,,,,,,,,,
138,443,Cook Park Recreation Center,18792,20,7100 Cherry Creek S Dr,Denver,CO,80224,1.26,,,,,,,,,,,,,,,
139,720,Cook Park Recreation Center,18792,20,7100 Cherry Creek S Dr,Denver,CO,80224,1.42,,,,,,,,,,,,,,,
401,1463,Cook Park Recreation Center,18792,20,7100 Cherry Creek S Dr,Denver,CO,80224,0.73,,,,,,,,,,,,,,,
402,0,Cook Park Recreation Center,18792,20,7100 Cherry Creek S Dr,Denver,CO,80224,0.49,,,,,,,,,,,,,,,
403,847,Cook Park Recreation Center,18792,20,7100 Cherry Creek S Dr,Denver,CO,80224,0.94,,,,,,,,,,,,,,,
404,972,Cook Park Recreation Center,18792,20,7100 Cherry Creek S Dr,Denver,CO,80224,1.23,,,,,,,,,,,,,,,
405,977,Cook Park Recreation Center,18792,20,7100 Cherry Creek S Dr,Denver,CO,80224,1.32,,,,,,,,,,,,,,,
406,613,Cook Park Recreation Center,18792,20,7100 Cherry Creek S Dr,Denver,CO,80224,1.25,,,,,,,,,,,,,,,
407,1471,Cook Park Recreation Center,18792,20,7100 Cherry Creek S Dr,Denver,CO,80224,1.82,,,,,,,,,,,,,,,
409,540,Cook Park Recreation Center,18792,20,7100 Cherry Creek S Dr,Denver,CO,80224,1.24,,,,,,,,,,,,,,,
410,1230,Cook Park Recreation Center,18792,20,7100 Cherry Creek S Dr,Denver,CO,80224,1.38,,,,,,,,,,,,,,,
411,1615,Cook Park Recreation Center,18792,20,7100 Cherry Creek S Dr,Denver,CO,80224,2.06,,,,,,,,,,,,,,,
412,1610,Cook Park Recreation Center,18792,20,7100 Cherry Creek S Dr,Denver,CO,80224,1.54,,,,,,,,,,,,,,,
