Precinct_Lon,Precinct_Lat,US_CONG,CO_SEN,CO_HSE,ARAP,COMM,Precinct,PRECINCT,HYPERLINK,created_us,created_da,last_edite,last_edi_1,Voter_Coun,Voter_Co_1,Shape_Leng,Shape_Area,VSPC_Name,Address,City,State,ZIP,VSPC_Lat,VSPC_Lon,Area_Lead,Precinct_Lead,Hand_Counter_1,Hand_Counter_2,Hand_Counter_3,Hand_Counter_4,Hand_Counter_5,Hand_Counter_6,Hand_Counter_7,Hand_Counter_8,Hand_Counter_9,Hand_Counter_10,VSPC_Rebalanced
-104.8589005,39.69838301,6,29,42,3,0,6294203517,517,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_517.pdf,AC,2022/02/02,AC,2025/10/20,866,2025/10/20,0.03546722917,0.00005111756,Aurora Center for Active Adults,30 Del Mar Cir,Aurora,CO,80011,39.7291,-104.864,,,,,,,,,,,,,Aurora Center for Active Adults
-104.8419283,39.73829397,6,28,42,3,0,6284203528,528,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_528.pdf,AC,2022/02/02,AC,2025/10/20,625,2025/10/20,0.03432715051,0.00004218813,Aurora Public Schools Educational Service Center 4,1085 Peoria St,Aurora,CO,80011,39.7406,-104.8363,,,,,,,,,,,,,Aurora Public Schools Educational Service Center 4
-104.8326381,39.73808631,6,28,42,3,0,6284203529,529,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_529.pdf,AC,2022/02/02,AC,2025/10/20,935,2025/10/20,0.02721266456,0.00003665111,Aurora Public Schools Educational Service Center 4,1085 Peoria St,Aurora,CO,80011,39.7406,-104.8363,,,,,,,,,,,,,Aurora Public Schools Educational Service Center 4
-104.7957761,39.73685181,6,28,36,3,0,6283603549,549,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_549.pdf,AC,2022/02/02,AC,2025/10/20,576,2025/10/20,0.03303429663,0.0000641672,Aurora Public Schools Professional Learning & Conference Center,15771 E 1st Ave,Aurora,CO,80011,39.7411,-104.7988,,,,,,,,,,,,,Aurora Public Schools Professional Learning & Conference Center
-104.8049285,39.73852608,6,28,42,3,0,6284203548,548,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_548.pdf,AC,2022/02/02,AC,2025/10/20,486,2025/10/20,0.02633674977,0.00003092376,Aurora Public Schools Professional Learning & Conference Center,15771 E 1st Ave,Aurora,CO,80011,39.7411,-104.7988,,,,,,,,,,,,,Aurora Public Schools Professional Learning & Conference Center
-104.7959967,39.72954021,6,28,36,3,0,6283603547,547,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_547.pdf,AC,2022/02/02,AC,2025/10/20,1173,2025/10/20,0.03457017819,0.00007381675,Beck Recreation Center,800 Telluride St,Aurora,CO,80011,39.7316,-104.8071,,,,,,,,,,,,,Beck Recreation Center
-104.8136765,39.73385496,6,28,42,3,0,6284203531,531,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_531.pdf,AC,2022/02/02,AC,2025/10/20,991,2025/10/20,0.04773905113,0.00009935807,Beck Recreation Center,800 Telluride St,Aurora,CO,80011,39.7316,-104.8071,,,,,,,,,,,,,Beck Recreation Center
-104.8144894,39.71758516,6,28,42,3,0,6284203533,533,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_533.pdf,AC,2022/02/02,AC,2025/10/20,1605,2025/10/20,0.05064712333,0.0001497658,Heather Gardens,2888 S Heather Gardens Way,Aurora,CO,80014,39.7067,-104.8125,,,,,,,,,,,,,Beck Recreation Center
-104.8054244,39.73123795,6,28,42,3,0,6284203546,546,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_546.pdf,AC,2022/02/02,AC,2025/10/20,1102,2025/10/20,0.04287284066,0.0001070083,Beck Recreation Center,800 Telluride St,Aurora,CO,80011,39.7316,-104.8071,,,,,,,,,,,,,Beck Recreation Center
-104.9885243,39.61630398,6,16,38,3,0,6163803126,126,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_126.pdf,AC,2022/02/02,AC,2025/10/20,1036,2025/10/20,0.05046196834,0.00008859446,Bemis Public Library,6014 S Datura St,Littleton,CO,80120,39.6072,-105.026,,,,,,,,,,,,,Bemis Public Library
